           2015 American Journal of Political Science Reviewers
Last Name        First Name   Institutional Affiliation
Aarøe            Lene         Aarhus University
Abbey            Ruth         University of Notre Dame
Abrahms          Max          Northeastern University
Abramyan         Hovannes     University of California, Los Angeles
Acs              Alex         University of Pennsylvania School of Law
Adams            James        UC Davis
Adida            Claire       UCSD
Adler            E.           University of Colorado
Agostini         Claudio      Universidad Adolfo Ibañez
Agrawal          Arun         University of Michigan
Aguiar-Conraria  Luis         University of Minho
Ahler            Douglas      University of California Berkeley
Ahlquist         John         University of California San Diego
Ahmed            Faisal       Princeton University
Ahn              T.K.         Seoul National University
Aidt             Toke         Cambridge University
Aimone           Jason        Baylor University
Ainsworth        Scott        University of Georgia
Akcinaroglu      Seden        Binghamton University
Aklin            Michaël      University of Pittsburgh
Aksoy            Deniz        Princeton University
Albouy           David        University of Illinois at Urbana-Champaign
Aldrich          Daniel       Purdue University
Aldrich          John         Duke University
Alexandrova      Petya        Leibniz Universitat Hannover
Alexiadou        Despina      University of Pittsburgh
Allee            Todd         University of Maryland
Allen            Michael      Boise State University
Allen            Susan        University of Mississippi
Allison          Paul         University of Pennsylvania
Alt              James        Harvard University
Althaus          Scott        University of Illinois
Alzate           Elissa       Winona State University
Amber            K.           Clemson University
Ames             Barry        University of Pittsburgh
Amman            Erwin        University of Duisburg-Essen
Andersen         Liam         Wright State University
Andersen         Robert       University of Toronto
Anderson         Cameron      University of Western Ontario
Anderson         Leslie       University of Florida
                                    1

Anderson    Sarah     University of California, Santa Barbara
Andonova    Liliana   Geneva
Anguelov    Nikolay   University of Massachusetts, Dartmouth
Anzia       Sarah     University of California at Berkeley
Appel       Benjamin  Michigan State University
Aragones    Enriqueta IAE-CSIC
Arce        Daniel    University of Texas at Dallas
Arena       Philip    University of Rochester
Armaly      Miles     Michigan State University
Armstrong   David     Universituy of Wisconsin-Milwaukee
Aronow      Peter     Yale University
Arvate      Paulo     Getulio Vargas Foundation
Arzheimer   Kai       Johannes Gutenberg University
Asal        Victor    SUNY ALBANY
Asmussen    Nicole    Oakland University
Asunka      Joseph    University of California, Los Angeles
Atkeson     Lonna     University of New Mexico
Avery       James     Richard Stockton College
Avramenko   Richard   University of Wisconsin
Ayoub       Phillip   Drexel University
Baccini     Leonardo  London School of Economics and Political Science
Bafumi      Joseph    Dartmouth
Baggott     Erin      Harvard
Bagozzi     Benjamin  University of Delaware
Bailard     Catie     George Washington University
Bailey      Jeremy    Ashland University
Bailey      Michael   Georgetown University
Bakker      Ryan      University of Georgia
Balcells    Laia      Duke University
Baldwin     Kate      University of Florida
Balla       Steven    George Washington University
Banks       Antoine   University of Maryland
Bapat       Navin     University of North Carolina - Chapel Hill
Barabas     Jason     Stony Brook University
Barber      Michael   Brigham Young University
Barbera     Pablo     New York University
Barnes      Lucy      University of Kent
Barr        Abigail   University of Nottingham
Barrilleaux Charles   Florida State University
Bartels     Brandon   George Washington University
Bartels     Larry     Vanderbilt University
Barth       Jay       Hendrix College
Barton      Dona-Gene University of Nebraska-Lincoln
                            2

Basedau     Matthias    GIGA Institute of African Studies
Bassi       Anna        UNC Chapel Hill
Bateson     Regina      MIT
Battista    James       SUNY Buffalo
Baturo      Alexander   Dublin City University
Bauer       Michael     German University of Administrative Sciences
Baumgartner Frank       UNC-Chapel Hill
Bausch      Andrew      Carnegie Mellon University
Bawn        Kathleen    UCLA
Bearce      David       University of Colorado
Beardsley   Kyle        Duke University
Beauchamp   Nicholas    Northeastern University
Beaudonnet  Laurie      Universite de Montreal
Beazer      Quintin     Florida State University
Beber       Bernd       New York University
Becher      Michael     University of Konstanz
Bechtel     Michael     University of St.Gallen
Beck        Nathaniel   New York University
Beckmann    Matthew     UC Irvine
Beckwith    Karen       Case Western Reserve University
Bednar      Jenna       University of Michigan
Beesley     Celeste     Brigham Young University
Beim        Deborah     Yale University
Belco       Michelle    University of Houston
Bell        Curtis      University of Tennessee at Knoxville
Bell        Edward      Brescia University College at Western University
Bell        Sam         Kansas State University
Ben-Nun     Pazit       The Hebrew University of Jerusalem
Bendix      William     Keene State College
Bergan      Daniel      Michigan State University
Bergman     Matthew     University of California San Diego
Berinsky    Adam        MIT
Berliner    Daniel      University of Minnesota
Bermeo      Sarah       Duke University
Bernhard    Michael     University of Florida
Bernhard    William     University of Illinois at Urbana-Champaign
Berry       Christopher The University of Chicago
Berry       William     Florida State University
Bertelli    Anthony     New York University
Best        Rebecca     University of Missouri at Kansas City
Best        Robin       SUNY-Binghamton
Bethke      Felix       Centre for Global Cooperation Research
Betz        Timm        Texas A&M University
                              3

Beyer       Heiko       Heinrich Heine University
Bianco      William     Indiana University
Bickford    Susan       University of North Carolina at Chapel Hill
Birch       Sarah       University of Glasgow
Birkhead    Nathaniel   Kansas State University
Bischoff    Carina      Roskilde University
Black       Ryan        Michigan State University
Blackwell   Matthew     Harvard University
Blair       Graeme      Columbia University
Blais       Andre       University of Montreal
Blake       Charles     James Madison University
Blake       R.          University of California, San Diego
Blattman    Christopher Columbia University
Blau        Adrian      King's College London
Bloeser     Andrew      Allegheny College
Blume       Lorenz      Philipps-Universität Marburg
Boas        Taylor      Boston University
Boatright   Robert      Clark University
Bochsler    Daniel      University Zurich
Bodea       Cristina    Michigan State University
Boettke     Peter       George Mason University
Bolce       Louis       Baruch College
Bollen      Kenneth     UNC, Chapel Hill
Bolleyer    Nicole      University of Exeter
Bolsen      Toby        Georgia State University
Bølstad     Jørgen      Swiss Federal Institute of Technology
Bond        Jon         Texas A&M University
Bonica      Adam        Stanford University
Boomgaarden Hajo        University of Vienna
Boucek      Françoise   Queen Mary
Boudreau    Cheryl      University of California, Davis
Boulding    Carew       University of Colorado at Boulder
Boushey     Graeme      University of California, Irvine
Boutton     Andrew      University of Texas
Bovens      Mark        University of Utrecht
Bowie       Jennifer    University of Richmond
Bowman      Ann         Texas A&M
Boydstun    Amber       University of California, Davis
Boyea       Brent       University of Texas at Arlington
Brace       Paul        Rice University
Brady       Anne-Marie  University of Canterbury
Braithwaite Alex        The University of Arizona
Braman      Eileen      Indiana University
                              4

Brandt           Patrick  University of Texas, Dallas
Branton          Regina   University of North Texas
Braumoeller      Bear     Ohio State University
Bräuninger       Thomas   University of Mannheim
Brazys           Sam      University College Dublin
Bressanelli      Edoardo  Kings College London
Brewster         Rachel   Duke University
Brierley         Sarah    UCLA
Brollo           Fernanda University of Warwick
Bromley-Trujillo Becky    University of Kentucky
Broockman        David    Stanford Graduate School of Business
Broscheid        Andreas  James Madison University
Brownlee         Jason    University of Texas
Brulle           Robert   Drexel University
Brunell          Thomas   University of Texas at Dallas
Brutger          Ryan     Princeton University
Buckley          Noah     Columbia University
Bueno            Ethan    University of Chicago
Bullock          Charles  University of Georgia
Bullock          John     University of Texas at Austin
Burden           Barry    University of Wisconsin
Burstein         Paul     University of Washington
Busemeyer        Marius   University of Konstanz
Bush             Sarah    Temple University
Butcher          Charles  National Centre for Peace and Conflict Studies
Butler           Daniel   Washington University in St. Louis
Buttorff         Gail     University of Kansas
Caldeira         Gregory  Ohio State University
Calfano          Brian    Missouri State University
Caliendo         Stephen  North Central College
Callanan         Valerie  The University of Akron
Callander        Steven   Stanford University
Callen           Zachary  Allegheny College
Calvo            Ernesto  University of Maryland
Campante         Filipe   Harvard University
Campbell         Andrea   MIT
Campbell         David    University of Notre Dame
Campos           Nauro    Brunel University
Canache          Damarys  University of Illinois at Urbana-Champaign
Canes-Wrone      Brandice Princeton University
Cann             Damon    Utah State University
Canon            David    University of Wisconsin
Cao              Xun      Penn State University
                               5

Caraway     Teri       University of Minnesota
Carey       John       Dartmouth College
Carey       Tony       University of North Texas
Carlin      Ryan       Georgia State University
Carlson     Elizabeth  Pennsylvania State University
Carnahan    Dustin     The Ohio State University
Carnes      Nicholas   Duke University
Carpenter   Daniel     Harvard University
Carreras    Miguel     Riverside
Carroll     Robert     Florida State University
Carroll     Royce      Rice University
Carrubba    Clifford   Emory University
Carson      Jamie      The University of Georgia
Carter      Brett      Stanford University
Casey       Katherine  Stanford University
Catalinac   Amy        New York University
Cattaneo    Matias     University of Michigan
Caughey     Devin      MIT
Caverley    Jonathan   Massachusetts Institute of Technology
Cederman    Lars-Erik  ETH Zürich
Ceron       Andrea     University of Milan
Chadefaux   Thomas     Trinity College Dublin
Chaisty     Paul       University of Oxford
Chakravarty Anuradha   University of South Carolina
Chamberlain Adam       Coastal Carolina University
Chan        Evelyn     University of Pittsburgh
Chang       Eric       Michigan State University
Chang       Woo        Yale University
Chapman     Terrence   University of Texas at Austin
Charnysh    Volha      Harvard University
Chatagnier  John       Vanderbilt University
Chaudoin    Stephen    University of Illinois at Urbana-Champaign
Cheeseman   Nic        Oxford University
Chen        Jidong     Beijing Normal University
Chen        Jowei      University of Michigan
Chenoweth   Erica      University of Denver
Cho         Wendy      University of Illinois at Urbana-Champaign
Choi        Seung-Whan University of Illinois at Chicago
Christensen Darin      Stanford University
Christenson Dino       Boston University
Chu         Jonathan   Stanford University
Chul        Sung       Korea Institute for National Unification
Church      Jeffrey    University of Houston
                             6

Chyzh         Olga        Iowa State University
Cisneros      Angel       University of Texas-Pan American
Ciuk          David       Franklin & Marshall College
Claassen      Ryan        Kent State University
Claes         Ellen       KU Leuven
Clark         John        Florida International University
Clark         Tom         Emory University
Clarke        Harold      UT-Dallas
Clarke        Kevin       University of Rochester
Clay          Chad        University of Georgia
Clayton       Amanda      Vanderbilt University
Clayton       Govinda     University of Kent
Cleary        Matthew     Syracuse University
Clifford      Scott       University of Houston
Clough        Emily       Newcastle University
Cluverius     John        University of Massachusetts Lowell
Cochran       Kathryn     Duke University
Coe           Andrew      University of Southern California
Coggins       Elizabeth   Colorado College
Cohen         Andrew      Georgia State University
Cohen         Jeffrey     Fordham University
Cole          Wade        University of Utah
Coleman       Eric        Florida State University
Colgan        Jeff        Brown University
Collingwood   Loren       University of California Riverside
Collins       Paul        University of Massachusetts, Amherst
Collins       Todd        Western Carolina University
Colucci       Frank       Purdue University
Condon        Meghan      DePaul University
Condra        Luke        University of Pittsburgh
Conrad        Courtenay   University of California Merced
Conrad        Justin      University of North Carolina at Charlotte
Conroy-Krutz  Jeffrey     Michigan State University
