"","date","count"
"16",2015-02-01,4647
"17",2015-02-02,6272
"18",2015-02-03,6794
"19",2015-02-04,6960
"20",2015-02-05,6720
"21",2015-02-06,6367
"22",2015-02-07,5020
"23",2015-02-08,6962
"24",2015-02-09,7412
"25",2015-02-10,7441
"26",2015-02-11,7780
"27",2015-02-12,7701
"28",2015-02-13,6016
"29",2015-02-14,4233
"30",2015-02-15,4877
"31",2015-02-16,5670
"32",2015-02-17,5779
"33",2015-02-18,5910
"34",2015-02-19,6107
"35",2015-02-20,5568
"36",2015-02-21,4558
"37",2015-02-22,4850
"38",2015-02-23,6545
"39",2015-02-24,6763
"40",2015-02-25,8753
"41",2015-02-26,6485
"42",2015-02-27,6284
"43",2015-02-28,4952
"2015-03-01",2015-03-01,5199
"2015-03-02",2015-03-02,6711
"2015-03-03",2015-03-03,7013
"2015-03-04",2015-03-04,7097
"2015-03-05",2015-03-05,7134
"2015-03-06",2015-03-06,6509
"2015-03-07",2015-03-07,7669
"2015-03-08",2015-03-08,6182
"2015-03-09",2015-03-09,6629
"2015-03-10",2015-03-10,6358
"2015-03-11",2015-03-11,6127
"2015-03-12",2015-03-12,6477
"2015-03-13",2015-03-13,6025
"2015-03-14",2015-03-14,5322
"2015-03-15",2015-03-15,4650
