"","date","count"
"13",2014-12-01,0
"10",2014-12-02,0
"11",2014-12-03,0
"4",2014-12-04,0
"17",2014-12-05,0
"14",2014-12-06,0
"15",2014-12-07,0
"6",2014-12-08,1
"7",2014-12-09,308
"23",2014-12-10,345
"22",2014-12-11,428
"25",2014-12-12,771
"24",2014-12-13,713
"27",2014-12-14,771
"26",2014-12-15,2654
"29",2014-12-16,5816
"28",2014-12-17,1881
"19",2014-12-18,612
"18",2014-12-19,245
"2",2014-12-20,242
"3",2014-12-21,262
"16",2014-12-22,1011
"5",2014-12-23,2446
"30",2014-12-24,1555
"31",2014-12-25,1015
"12",2014-12-26,1375
"1",2014-12-27,1570
"8",2014-12-28,1705
"9",2014-12-29,1646
"21",2014-12-30,1177
"20",2014-12-31,1926
"52",2015-01-01,1961
"51",2015-01-02,2958
"50",2015-01-03,2343
"49",2015-01-04,2634
"48",2015-01-05,7627
"47",2015-01-06,25348
"46",2015-01-07,15007
"45",2015-01-08,11802
"44",2015-01-09,7902
"34",2015-01-10,6664
"35",2015-01-11,7788
"36",2015-01-12,16438
"37",2015-01-13,18130
"38",2015-01-14,9044
"39",2015-01-15,6408
"40",2015-01-16,5073
"41",2015-01-17,3886
"32",2015-01-18,7798
"33",2015-01-19,14446
"58",2015-01-20,10157
"57",2015-01-21,13131
"60",2015-01-22,13699
"59",2015-01-23,5332
"54",2015-01-24,3148
"53",2015-01-25,3989
"56",2015-01-26,5384
"55",2015-01-27,5283
"62",2015-01-28,4469
"61",2015-01-29,3567
"42",2015-01-30,2101
"43",2015-01-31,1186
"78",2015-02-01,1521
"76",2015-02-02,2605
"77",2015-02-03,3351
"74",2015-02-04,2582
"75",2015-02-05,2053
"72",2015-02-06,1747
"73",2015-02-07,1074
"70",2015-02-08,1625
"71",2015-02-09,3136
"87",2015-02-10,2821
"86",2015-02-11,1541
"89",2015-02-12,1356
"88",2015-02-13,1268
"83",2015-02-14,968
"82",2015-02-15,1230
"85",2015-02-16,1748
"84",2015-02-17,1472
"81",2015-02-18,1098
"80",2015-02-19,1047
"64",2015-02-20,1000
"65",2015-02-21,887
"66",2015-02-22,1002
"67",2015-02-23,1259
"68",2015-02-24,1375
"69",2015-02-25,1240
"79",2015-02-26,2694
"90",2015-02-27,1828
"63",2015-02-28,4698
"114",2015-03-01,3361
"116",2015-03-02,2248
"115",2015-03-03,1867
"118",2015-03-04,1308
"117",2015-03-05,1410
"120",2015-03-06,1009
"119",2015-03-07,723
"107",2015-03-08,790
"106",2015-03-09,1026
"98",2015-03-10,1006
"99",2015-03-11,799
"96",2015-03-12,839
"97",2015-03-13,752
"102",2015-03-14,741
"103",2015-03-15,837
"100",2015-03-16,906
"101",2015-03-17,778
"94",2015-03-18,785
"95",2015-03-19,660
"109",2015-03-20,646
"108",2015-03-21,754
"105",2015-03-22,813
"104",2015-03-23,981
"113",2015-03-24,813
"112",2015-03-25,903
"111",2015-03-26,914
"110",2015-03-27,854
"91",2015-03-28,889
"121",2015-03-29,1336
"92",2015-03-30,891
"93",2015-03-31,755
"132",2015-04-01,602
"133",2015-04-02,467
"134",2015-04-03,405
"135",2015-04-04,711
"136",2015-04-05,831
"137",2015-04-06,764
"138",2015-04-07,630
"139",2015-04-08,543
"140",2015-04-09,646
"141",2015-04-10,507
"142",2015-04-11,407
"143",2015-04-12,458
"144",2015-04-13,1332
"145",2015-04-14,1198
"146",2015-04-15,710
"147",2015-04-16,639
"148",2015-04-17,575
"149",2015-04-18,517
"150",2015-04-19,542
"151",2015-04-20,754
"152",2015-04-21,659
"153",2015-04-22,570
"154",2015-04-23,471
"155",2015-04-24,435
"156",2015-04-25,352
"157",2015-04-26,468
"158",2015-04-27,645
"159",2015-04-28,604
"160",2015-04-29,482
"161",2015-04-30,506
"124",2015-05-01,389
"123",2015-05-02,372
"122",2015-05-03,511
"128",2015-05-04,763
"127",2015-05-05,613
"126",2015-05-06,728
"125",2015-05-07,656
"130",2015-05-08,485
"129",2015-05-09,0
"131",2015-05-10,408
